遮掩方式,差值,前三种爱选的方式
"[[0 1 1]
 [0 1 0]
 [0 0 1]]",547.39503,"[(4, 17110), (1, 16454), (0, 15291)]"
"[[0 0 1]
 [0 0 0]
 [1 1 1]]",554.63404,"[(1, 16631), (3, 16180), (4, 16025)]"
"[[0 0 1]
 [0 0 1]
 [1 0 1]]",552.8604,"[(5, 16765), (2, 16192), (3, 16000)]"
"[[0 0 0]
 [0 1 1]
 [0 1 1]]",606.14386,"[(7, 18710), (2, 17896), (3, 15451)]"
"[[1 0 0]
 [1 0 1]
 [1 0 0]]",760.27291,"[(5, 22231), (2, 21502), (0, 21312)]"
"[[1 0 0]
 [1 0 0]
 [1 1 0]]",647.6651,"[(7, 18850), (6, 17970), (1, 16949)]"
"[[0 1 1]
 [0 1 0]
 [1 0 0]]",701.10252,"[(1, 22285), (6, 21657), (0, 19838)]"
"[[0 0 0]
 [1 1 0]
 [1 0 1]]",544.3394,"[(2, 17022), (5, 16714), (6, 15234)]"
"[[0 0 1]
 [1 0 0]
 [1 0 1]]",592.51124,"[(5, 17651), (2, 16089), (3, 15852)]"
"[[1 0 1]
 [1 0 1]
 [0 0 0]]",672.88839,"[(0, 19875), (7, 19556), (3, 19249)]"
"[[1 0 0]
 [0 1 1]
 [0 0 1]]",702.05946,"[(5, 21995), (0, 21939), (2, 19707)]"
"[[0 1 0]
 [1 0 1]
 [0 1 0]]",720.24376,"[(3, 18762), (2, 17191), (4, 17109)]"
"[[1 0 0]
 [1 1 1]
 [0 0 0]]",635.67506,"[(5, 19375), (0, 18845), (2, 18293)]"
"[[0 1 1]
 [1 0 0]
 [0 0 1]]",805.46679,"[(7, 22162), (5, 19121), (0, 19116)]"
"[[0 1 0]
 [1 1 0]
 [0 0 1]]",691.51467,"[(7, 20801), (2, 15628), (4, 15550)]"
"[[1 0 1]
 [0 0 0]
 [1 0 1]]",564.02822,"[(1, 16418), (2, 14082), (0, 13993)]"
"[[0 0 0]
 [1 0 1]
 [0 1 1]]",700.80421,"[(2, 19846), (3, 18821), (5, 17537)]"
"[[1 0 0]
 [0 1 1]
 [1 0 0]]",588.32351,"[(5, 17560), (2, 15512), (0, 15455)]"
"[[1 0 0]
 [0 1 0]
 [1 1 0]]",542.04816,"[(6, 17144), (1, 16538), (2, 15086)]"
"[[0 1 1]
 [1 0 0]
 [1 0 0]]",611.01877,"[(3, 17160), (0, 16235), (6, 16165)]"
"[[1 0 0]
 [0 0 0]
 [1 1 1]]",549.3463,"[(1, 16431), (7, 16213), (6, 16059)]"
