遮掩方式,差值,前三种爱选的方式
"[[1 1 0]
 [0 0 1]
 [0 0 1]]",609.04248,"[(7, 17522), (4, 16312), (0, 16083)]"
"[[0 1 1]
 [0 0 0]
 [0 1 1]]",668.15569,"[(3, 19750), (1, 19655), (7, 19462)]"
"[[1 1 1]
 [0 0 0]
 [0 0 1]]",547.22173,"[(1, 16546), (4, 16258), (7, 15977)]"
"[[1 1 0]
 [0 0 1]
 [1 0 0]]",802.3202,"[(3, 22202), (0, 19007), (5, 19006)]"
"[[0 0 1]
 [1 1 0]
 [0 1 0]]",681.46276,"[(3, 20931), (2, 15593), (0, 15406)]"
"[[1 1 0]
 [0 0 0]
 [1 1 0]]",667.81909,"[(1, 19646), (7, 19525), (3, 19328)]"
"[[0 1 0]
 [0 0 1]
 [0 1 1]]",699.16794,"[(4, 19876), (3, 18409), (1, 17572)]"
"[[1 0 1]
 [0 1 0]
 [0 1 0]]",588.5934,"[(1, 17743), (6, 15266), (4, 15014)]"
"[[1 1 1]
 [0 0 0]
 [1 0 0]]",550.47058,"[(1, 16581), (3, 16211), (6, 16115)]"
"[[1 1 0]
 [0 1 1]
 [0 0 0]]",568.77648,"[(0, 17295), (7, 16846), (4, 15442)]"
"[[0 1 0]
 [1 0 0]
 [0 1 1]]",807.6424,"[(7, 22553), (2, 19939), (3, 19917)]"
"[[0 0 0]
 [0 1 1]
 [1 1 0]]",573.00581,"[(2, 17312), (3, 16768), (4, 15546)]"
"[[1 0 1]
 [1 0 0]
 [0 1 0]]",794.49668,"[(3, 22116), (1, 19066), (6, 19064)]"
"[[1 0 0]
 [1 1 0]
 [0 1 0]]",570.36703,"[(6, 17367), (7, 16850), (2, 15390)]"
"[[0 0 0]
 [1 1 1]
 [0 1 0]]",657.2273,"[(3, 18726), (2, 18100), (6, 16979)]"
"[[1 1 0]
 [1 0 1]
 [0 0 0]]",691.57402,"[(0, 19703), (3, 18530), (5, 17789)]"
"[[0 0 1]
 [1 0 1]
 [0 1 0]]",805.01642,"[(3, 22460), (4, 20005), (2, 19700)]"
"[[0 1 0]
 [0 1 0]
 [0 1 1]]",632.34796,"[(1, 19183), (4, 18962), (6, 18147)]"
"[[0 0 1]
 [1 1 0]
 [0 0 1]]",589.03041,"[(5, 17283), (2, 15361), (0, 15342)]"
"[[1 1 0]
 [0 0 0]
 [1 0 1]]",592.07675,"[(1, 17977), (6, 15855), (7, 15804)]"
"[[1 0 1]
 [0 0 1]
 [0 1 0]]",801.78101,"[(7, 21969), (1, 19125), (3, 19048)]"
