遮掩方式,差值,前三种爱选的方式
"[[1 0 1]
 [0 1 0]
 [0 0 1]]",585.7729,"[(0, 18329), (4, 18185), (1, 18125)]"
"[[0 0 0]
 [1 0 1]
 [1 1 0]]",700.83587,"[(2, 19887), (7, 18394), (6, 17490)]"
"[[0 0 1]
 [1 1 0]
 [1 0 0]]",707.73707,"[(3, 22074), (0, 21746), (2, 19809)]"
"[[1 0 1]
 [0 1 0]
 [1 0 0]]",584.96002,"[(0, 18424), (1, 18181), (6, 18051)]"
"[[0 0 1]
 [0 1 1]
 [0 1 0]]",576.75157,"[(4, 17466), (3, 17001), (2, 15328)]"
"[[1 1 1]
 [0 0 1]
 [0 0 0]]",662.01872,"[(7, 18580), (0, 17984), (5, 16981)]"
"[[0 0 0]
 [0 1 0]
 [1 1 1]]",512.42148,"[(2, 16502), (1, 16428), (6, 15543)]"
"[[0 0 0]
 [0 1 1]
 [1 0 1]]",540.6702,"[(5, 16917), (2, 16905), (4, 15339)]"
"[[1 0 0]
 [1 0 1]
 [0 1 0]]",800.0251,"[(7, 22416), (2, 19864), (6, 19672)]"
"[[1 0 1]
 [1 0 0]
 [0 0 1]]",594.48083,"[(5, 17780), (0, 15882), (7, 15880)]"
"[[0 1 1]
 [0 1 0]
 [0 1 0]]",638.41895,"[(4, 19181), (1, 19162), (6, 18032)]"
"[[1 0 0]
 [1 1 0]
 [0 0 1]]",710.6106,"[(5, 21955), (2, 21847), (0, 19994)]"
"[[1 1 0]
 [1 1 0]
 [0 0 0]]",607.85016,"[(7, 18622), (0, 17647), (3, 15432)]"
"[[0 0 1]
 [0 0 1]
 [1 1 0]]",609.13009,"[(3, 17397), (4, 16116), (2, 16092)]"
"[[1 1 1]
 [1 0 0]
 [0 0 0]]",650.98276,"[(3, 18756), (0, 17856), (5, 16966)]"
"[[0 0 0]
 [1 1 1]
 [0 0 1]]",640.88796,"[(5, 19171), (2, 18867), (0, 18219)]"
"[[0 0 1]
 [1 0 1]
 [0 0 1]]",773.434,"[(5, 22118), (0, 21512), (2, 21487)]"
"[[1 0 1]
 [1 0 0]
 [1 0 0]]",546.70885,"[(5, 16682), (0, 16192), (3, 16171)]"
"[[1 0 0]
 [1 1 0]
 [1 0 0]]",514.50258,"[(5, 16586), (6, 16554), (0, 15570)]"
"[[1 0 1]
 [0 0 1]
 [0 0 1]]",553.11451,"[(5, 16664), (7, 16168), (0, 16044)]"
"[[0 0 0]
 [1 1 1]
 [1 0 0]]",639.11964,"[(3, 19104), (2, 18790), (0, 18379)]"
